1956年毛泽东发表的《论十大关系》围绕的一个基本方针是【 】。　,单选,A,调动一切积极因素为中国社会主义探索实践服务 ,正确处理人民内部矛盾,实现社会主义四个现代化,正确处理国民经济发展的比例问题
1953年开始的个体农业的社会主义改造的基本进路是【 】。　,单选,B,土地改革→个体农民→互助组→农业生产合作社,个体农民→互助组→初级社→高级社,个体农民→互助组→农业生产合作社→高级社,个体农民→互助组→农业生产合作社→人民公社
20世纪50年代初，中国共产党在国家工作人员中开展了著名的“三反”运动，将犯有严重贪污罪行的党的高级干部【 】处以极刑，有力地促进了建国初期党和国家的廉政建设。,单选,B,黄克功  ,刘青山、张子善 ,肖玉壁,王守信
在国民党统治区，以【 】为先导的人民民主运动迅速发展，逐步形成配合人民解放战 争的第二条战线。,单选,B,工人运动,学生运动,农民运动,市民运动
以宋庆龄为名誉主席的民主党派是【】,单选,C,民盟,民建,民革,民进
中国共产党领导的人民解放战争在1948年秋进入到了夺取全国胜利的【】,单选,D,战略防御阶段,战略相持阶段,战略进攻阶段,战略决战阶段
1947年5月，在中国共产党领导下宣告成立的民族自治区是【】,单选,A,内蒙古自治区,宁夏回族自治区,新疆维吾尔族自治区,广西壮族自治区
1945年8月至10月，国共双方举行了确认和平建国基本方针的是【】,单选,B,西安谈判,重庆谈判,南京谈判,北平谈判
中共七届二中全会需要解决的重要问题是【】,单选,C,如何夺取全国革命胜利,如何解决民主革命遗留的任务的问题,党的工作重心转移问题,民主革命向社会主义革命转变的问题
1947年刘邓大军挺进中原的重大意义在于【     】,单选,D,影响战略决战主攻方向,粉碎蒋介石的重点进攻,改变敌我双方的力量对比,改变解放战争的战略态势 
1945年8月，陪同毛泽东去重庆参加谈判的中共代表有【 】,单选,B,刘少奇、邓小平,周恩来、王若飞,周恩来、陈毅,叶剑英、邓小平
百团大战的指挥者是【】,单选,C,聂荣臻,徐向前,彭德怀,邓小平
以下不属于延安整风运动任务的是【】,单选,D,反对主观主义以整顿学风,反对宗派主义以整顿党风,反对党八股以整顿文风,反对官僚主义以整顿作风
1939年1月，国民党确定“消极抗日，积极反共”政策的会议【】,单选,B,国民党五届三中全会,国民党五届五中全会,国民党五届六中全会,国民党临时全国代表大会
全国抗战爆发后，共产党领导的敌后战场取得的第一个大的胜利是【】,单选,A,平型关战役,台儿庄战役,百团大战,淞沪会战
毛泽东说“长征”是宣传队，意思是指【  】,单选,C,长征使中国革命转危为安,红军战胜了党内分裂危机的困难,长征途中，宣传了马克思主义和抗战主张,为中国革命的继续发展奠定了基础
在 1931年1月至1935年1月期间，在中国共产党内出现的主要错误是【  】,单选,C,“左”倾盲动主义,右倾机会主义,“左”倾教条主义,右倾投降主义
毛泽东在《反对本本主义》一文中提出的著名论断是【  】,单选,B,须知政权是由枪杆子中取得的,中国革命斗争的胜利要靠中国同志了解中国情况,兵民是胜利之本,一切反动派都是纸老虎
毛泽东明确提出“以乡村为中心”思想的重要著作是【  】,单选,C,《中国的红色政权为什么能够存在?》,《井冈山的斗争》,《星星之火，可以燎原》,《反对本本主义》
在半殖民地半封建的中国，红色政权能够存在和发展的根本原因是【  】,单选,B,国民革命的影响,政治经济发展极端不平衡,相当力量的正式红军的存在,共产党组织的坚强有力正确的政策
1927 年10月，毛泽东率领秋收起义部队开辟的创建农村革命根据地是【  】,单选,A,井冈山革命根据地,湘鄂西革命根据地,闽浙赣革命根据地,左右江革命根据地
1927 年9月爆发的湘赣边界秋收起义的领导者是【  】,单选,B,周恩来,毛泽东,彭德怀,朱德
中共十八大提出，要确保到（）年实现全面建成小康社会的目标。,单选,D,2015年,2029年,2030年,2020年
中共十八大精神归结到一点，就是（）。,单选,C,不走封闭僵化的老路,不走改旗易帜的邪路,坚持和发展中国特色社会主义,开启了中国特色社会主义新时代
"作为第二次鸦片战争导火线之一的""神父马赖事件""，也称""（    ）教案""。",单选,B,隆林,西林,田林,上林
1952年，历时三年的广西剿匪斗争取得胜利，共歼灭土匪（    ）万多。,单选,B,4,46,100,200
在率先由民主主义者转变为共产主义者的过程中，李大钊讴歌十月革命的代表作有（  ）,多选,CD,《法俄革命之比较观》,《我的马克思主义观》,《庶民的胜利》,《Bolshevism 的胜利》
中国新民主主义革命的重要任务是反对（  ）,多选,ABD,帝国主义,封建主义,民族资本主义,官僚资本主义
国共两党第二次合作正式形成的标志是  (),多选,AB,《中共中央为公布国共合作宣言》的发表,蒋介石发表《对中国共产党宣言的谈话》,《抗日救国十大纲领》的发表,《论统一战线》的发表
近代资本——帝国主义对中国进行侵略的手段有（     ）。,多选,ABCD,军事侵略,政治控制,经济掠夺,文化渗透
武昌起义后，各权省独立政情况复杂，有    【        】,多选,ABCD,革命党人主动把权力让给立宪派和旧官僚、旧军官,政权被立宪派和旧官僚、旧军官篡夺,旧官僚和旧军官改头换面维持着旧政权,虽是革命党人掌权，但很快蜕变为新军阀、新官僚
资产阶级革命派与改良派论战的问题主要有      【        】,多选,ABC,要不要以革命手段推翻清王朝,要不要推翻帝制，实行共和,要不要社会革命 ,要不要发展资本主义
对我国边疆安全构成严重威胁的“三股势力”是指（ ），必须严厉加以打击。,多选,BCD,“藏独”分裂势力,伊斯兰宗教极端势力,伊斯兰暴力恐怖势力,伊斯兰民族分裂势力
晚年毛泽东犯“文化大革命”这样严重错误的原因主要有（ ）,多选,ABCD,对中国社会主义建设的长期性、艰巨性和复杂性认识不足，缺乏思想充分的准备。,习惯于传统大规模急风暴雨式群众斗争的旧方法和旧经验，从而导致阶级斗争严重扩大化。,中国传统的封建专制主义在思想政治方面的遗毒的影响，使党的权力过分集中于个人，毛泽东个人崇拜、个人专断作风日益严重，党的民主集中制和集体领导原则遭到严重破坏。,国际共产主义运动未能正确解决领袖和党的关系问题对中国共产党产生了消极的影响。
1956年前后，社会主义建设道路探索的重大理论成果主要有（ ）,多选,ABCD,提出马克思主义与中国实际的“二次结合”思想    ,《论十大关系》的发表,《关于正确处理人民内部矛盾的问题》的发表 ,党的八大正确路线的制定
抗战胜利之初，蒋介石在积极准备内战的同时，又表示愿意与中共进行和平谈判，其目的是,多选,ABC,以此敷衍国内外舆论，掩盖其正在进行的内战准备,诱使中共交出人民军队和解放区政权，以期不战而控制全中国,如果谈判不成，即放手发动内战，并把战争责任转嫁给中共,为了答应美国与苏联方面的要求
